Row,TRAJ1_01,TRAJ10_01,TRAJ11_01,TRAJ12_01,TRAJ13_01,TRAJ13_02,TRAJ14_01,TRAJ15_01,TRAJ15_02,TRAJ16_01,TRAJ17_01,TRAJ18_01,TRAJ19_01,TRAJ2_01,TRAJ20_01,TRAJ21_01,TRAJ22_01,TRAJ23_01,TRAJ23_02,TRAJ24_01,TRAJ24_02,TRAJ25_01,TRAJ26_01,TRAJ27_01,TRAJ28_01,TRAJ29_01,TRAJ3_01,TRAJ30_01,TRAJ31_01,TRAJ32_01,TRAJ32_02,TRAJ33_01,TRAJ34_01,TRAJ35_01,TRAJ36_01,TRAJ37_01,TRAJ37_02,TRAJ38_01,TRAJ39_01,TRAJ4_01,TRAJ40_01,TRAJ41_01,TRAJ42_01,TRAJ43_01,TRAJ44_01,TRAJ45_01,TRAJ46_01,TRAJ47_01,TRAJ47_02,TRAJ48_01,TRAJ49_01,TRAJ5_01,TRAJ50_01,TRAJ51_01,TRAJ52_01,TRAJ53_01,TRAJ54_01,TRAJ55_01,TRAJ56_01,TRAJ57_01,TRAJ58_01,TRAJ59_01,TRAJ6_01,TRAJ60_01,TRAJ61_01,TRAJ7_01,TRAJ8_01,TRAJ9_01,TRBJ1_1_01,TRBJ1_2_01,TRBJ1_3_01,TRBJ1_4_01,TRBJ1_5_01,TRBJ1_6_01,TRBJ1_6_02,TRBJ2_1_01,TRBJ2_2_01,TRBJ2_2P_01,TRBJ2_3_01,TRBJ2_4_01,TRBJ2_5_01,TRBJ2_6_01,TRBJ2_7_01,TRBJ2_7_02,TRDJ1_01,TRDJ2_01,TRDJ3_01,TRDJ4_01,TRGJ1_01,TRGJ1_02,TRGJ2_01,TRGJP_01,TRGJP1_01,TRGJP2_01
TRAV1_1_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV1_1_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV1_2_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV1_2_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV10_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV11_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV12_1_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV12_1_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV12_2_01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV12_2_02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
