Row,Lengths,MinNValues
IGHV1_18_01,296,12
IGHV1_18_02,276,12
IGHV1_18_03,296,12
IGHV1_18_04,296,12
IGHV1_2_01,296,12
IGHV1_2_02,296,12
IGHV1_2_03,296,12
IGHV1_2_04,296,12
IGHV1_2_05,296,12
IGHV1_24_01,296,12
IGHV1_3_01,296,12
IGHV1_3_02,296,12
IGHV1_45_01,296,14
IGHV1_45_02,296,14
IGHV1_45_03,260,14
IGHV1_46_01,296,12
IGHV1_46_02,296,12
IGHV1_46_03,296,12
IGHV1_58_01,296,13
IGHV1_58_02,296,13
IGHV1_69_01,296,14
IGHV1_69_02,294,14
IGHV1_69_03,275,14
IGHV1_69_04,296,14
IGHV1_69_05,294,14
IGHV1_69_06,296,14
IGHV1_69_07,233,13
IGHV1_69_08,296,14
IGHV1_69_09,296,14
IGHV1_69_10,296,14
IGHV1_69_11,296,14
IGHV1_69_12,296,14
IGHV1_69_13,296,13
IGHV1_69_14,296,14
IGHV1_69_2_01,296,12
IGHV1_69_2_02,233,15
IGHV1_8_01,296,12
IGHV1_8_02,296,12
IGHV2_26_01,301,14
IGHV2_5_01,301,12
IGHV2_5_02,301,11
IGHV2_5_03,210,12
IGHV2_5_04,295,13
IGHV2_5_05,301,12
IGHV2_5_06,300,13
IGHV2_5_08,301,10
IGHV2_5_09,301,13
IGHV2_70_01,301,13
IGHV2_70_02,290,13
IGHV2_70_03,290,13
IGHV2_70_04,288,10
IGHV2_70_05,237,10
IGHV2_70_06,290,13
IGHV2_70_07,290,13
IGHV2_70_08,290,13
IGHV2_70_09,297,13
IGHV2_70_10,301,13
IGHV2_70_11,301,13
IGHV2_70_12,301,11
IGHV2_70_13,301,13
IGHV3_11_01,296,12
IGHV3_11_02,290,14
IGHV3_11_03,294,12
IGHV3_11_04,296,11
IGHV3_11_05,296,12
IGHV3_11_06,296,11
IGHV3_13_01,293,11
IGHV3_13_02,293,11
IGHV3_13_03,291,11
IGHV3_13_04,293,11
IGHV3_13_05,293,11
IGHV3_15_01,302,15
IGHV3_15_02,302,16
IGHV3_15_03,302,15
IGHV3_15_04,302,15
IGHV3_15_05,302,15
IGHV3_15_06,302,15
IGHV3_15_07,302,15
IGHV3_15_08,302,13
IGHV3_20_01,296,12
IGHV3_20_02,296,12
IGHV3_21_01,296,8
IGHV3_21_02,296,9
IGHV3_21_03,296,9
IGHV3_21_04,296,9
IGHV3_23_01,296,11
IGHV3_23_02,296,11
IGHV3_23_03,296,11
